date,division,home,away,home_goals,away_goals,n,p
2025-08-12,1,FH,Þór/KA,0,0,124,0.031
2025-08-12,1,FH,Þór/KA,0,1,132,0.033
2025-08-12,1,FH,Þór/KA,0,2,83,0.02075
2025-08-12,1,FH,Þór/KA,0,3,44,0.011
2025-08-12,1,FH,Þór/KA,0,4,12,0.003
2025-08-12,1,FH,Þór/KA,0,5,9,0.00225
2025-08-12,1,FH,Þór/KA,0,6,2,5e-4
2025-08-12,1,FH,Þór/KA,1,0,228,0.057
2025-08-12,1,FH,Þór/KA,1,1,307,0.07675
2025-08-12,1,FH,Þór/KA,1,2,183,0.04575
2025-08-12,1,FH,Þór/KA,1,3,97,0.02425
2025-08-12,1,FH,Þór/KA,1,4,40,0.01
2025-08-12,1,FH,Þór/KA,1,5,14,0.0035
2025-08-12,1,FH,Þór/KA,1,6,7,0.00175
2025-08-12,1,FH,Þór/KA,1,7,1,2.5e-4
2025-08-12,1,FH,Þór/KA,1,9,2,5e-4
2025-08-12,1,FH,Þór/KA,2,0,235,0.05875
2025-08-12,1,FH,Þór/KA,2,1,302,0.0755
2025-08-12,1,FH,Þór/KA,2,2,238,0.0595
2025-08-12,1,FH,Þór/KA,2,3,100,0.025
2025-08-12,1,FH,Þór/KA,2,4,50,0.0125
2025-08-12,1,FH,Þór/KA,2,5,17,0.00425
2025-08-12,1,FH,Þór/KA,2,6,2,5e-4
2025-08-12,1,FH,Þór/KA,2,7,3,7.5e-4
2025-08-12,1,FH,Þór/KA,2,8,1,2.5e-4
2025-08-12,1,FH,Þór/KA,3,0,194,0.0485
2025-08-12,1,FH,Þór/KA,3,1,256,0.064
2025-08-12,1,FH,Þór/KA,3,2,192,0.048
2025-08-12,1,FH,Þór/KA,3,3,95,0.02375
2025-08-12,1,FH,Þór/KA,3,4,36,0.009
2025-08-12,1,FH,Þór/KA,3,5,16,0.004
2025-08-12,1,FH,Þór/KA,3,6,5,0.00125
2025-08-12,1,FH,Þór/KA,3,7,3,7.5e-4
2025-08-12,1,FH,Þór/KA,3,8,1,2.5e-4
2025-08-12,1,FH,Þór/KA,3,10,1,2.5e-4
2025-08-12,1,FH,Þór/KA,4,0,121,0.03025
2025-08-12,1,FH,Þór/KA,4,1,145,0.03625
2025-08-12,1,FH,Þór/KA,4,2,104,0.026
2025-08-12,1,FH,Þór/KA,4,3,65,0.01625
2025-08-12,1,FH,Þór/KA,4,4,35,0.00875
2025-08-12,1,FH,Þór/KA,4,5,9,0.00225
2025-08-12,1,FH,Þór/KA,4,6,3,7.5e-4
2025-08-12,1,FH,Þór/KA,4,7,3,7.5e-4
2025-08-12,1,FH,Þór/KA,4,8,2,5e-4
2025-08-12,1,FH,Þór/KA,5,0,53,0.01325
2025-08-12,1,FH,Þór/KA,5,1,89,0.02225
2025-08-12,1,FH,Þór/KA,5,2,63,0.01575
2025-08-12,1,FH,Þór/KA,5,3,28,0.007
2025-08-12,1,FH,Þór/KA,5,4,16,0.004
2025-08-12,1,FH,Þór/KA,5,5,10,0.0025
2025-08-12,1,FH,Þór/KA,6,0,24,0.006
2025-08-12,1,FH,Þór/KA,6,1,49,0.01225
