team,placement,n,p_raw,p,mean,p_top,team_nr
Afturelding,1,8,0.002,0.012326656394453005,8.899999999999999,0.18,9
Afturelding,2,26,0.0065,0.040061633281972264,8.899999999999999,0.18,9
Afturelding,3,67,0.01675,0.10323574730354391,8.899999999999999,0.18,9
Afturelding,4,107,0.02675,0.16486902927580893,8.899999999999999,0.18,9
Afturelding,5,200,0.05,0.3081664098613251,8.899999999999999,0.18,9
Afturelding,6,312,0.078,0.48073959938366717,8.899999999999999,0.18,9
Afturelding,7,394,0.0985,0.6070878274268104,8.899999999999999,0.18,9
Afturelding,8,481,0.12025,0.7411402157164868,8.899999999999999,0.18,9
Afturelding,9,542,0.1355,0.8351309707241911,8.899999999999999,0.18,9
Afturelding,10,587,0.14675,0.9044684129429892,8.899999999999999,0.18,9
Afturelding,11,627,0.15675,0.9661016949152542,8.899999999999999,0.18,9
Afturelding,12,649,0.16225,1,8.899999999999999,0.18,9
Breiðablik,1,935,0.23375,1,3.1082500000000004,0.94,2
Breiðablik,2,880,0.22,0.9411764705882353,3.1082500000000004,0.94,2
Breiðablik,3,761,0.19025,0.813903743315508,3.1082500000000004,0.94,2
Breiðablik,4,611,0.15275,0.653475935828877,3.1082500000000004,0.94,2
Breiðablik,5,350,0.0875,0.374331550802139,3.1082500000000004,0.94,2
Breiðablik,6,223,0.05575,0.23850267379679144,3.1082500000000004,0.94,2
Breiðablik,7,115,0.02875,0.1229946524064171,3.1082500000000004,0.94,2
Breiðablik,8,56,0.014,0.059893048128342244,3.1082500000000004,0.94,2
Breiðablik,9,37,0.00925,0.03957219251336898,3.1082500000000004,0.94,2
Breiðablik,10,19,0.00475,0.020320855614973262,3.1082500000000004,0.94,2
Breiðablik,11,9,0.00225,0.00962566844919786,3.1082500000000004,0.94,2
Breiðablik,12,4,0.001,0.0042780748663101605,3.1082500000000004,0.94,2
FH,2,16,0.004,0.020752269779507133,9.169,0.1495,11
FH,3,36,0.009,0.046692607003891044,9.169,0.1495,11
FH,4,98,0.0245,0.12710765239948119,9.169,0.1495,11
FH,5,184,0.046,0.23865110246433202,9.169,0.1495,11
FH,6,264,0.066,0.3424124513618677,9.169,0.1495,11
FH,7,384,0.096,0.4980544747081712,9.169,0.1495,11
FH,8,469,0.11725,0.6083009079118028,9.169,0.1495,11
FH,9,516,0.129,0.669260700389105,9.169,0.1495,11
FH,10,578,0.1445,0.7496757457846951,9.169,0.1495,11
FH,11,684,0.171,0.88715953307393,9.169,0.1495,11
FH,12,771,0.19275,1,9.169,0.1495,11
Fram,1,3,7.5e-4,0.00425531914893617,9.096499999999999,0.15325,10
Fram,2,20,0.005,0.028368794326241138,9.096499999999999,0.15325,10
Fram,3,39,0.00975,0.055319148936170216,9.096499999999999,0.15325,10
Fram,4,99,0.02475,0.14042553191489363,9.096499999999999,0.15325,10
Fram,5,183,0.04575,0.25957446808510637,9.096499999999999,0.15325,10
Fram,6,269,0.06725,0.3815602836879433,9.096499999999999,0.15325,10
Fram,7,391,0.09775,0.5546099290780142,9.096499999999999,0.15325,10
Fram,8,449,0.11225,0.6368794326241135,9.096499999999999,0.15325,10
Fram,9,564,0.141,0.7999999999999999,9.096499999999999,0.15325,10
Fram,10,622,0.1555,0.8822695035460993,9.096499999999999,0.15325,10
Fram,11,656,0.164,0.9304964539007093,9.096499999999999,0.15325,10
Fram,12,705,0.17625,1,9.096499999999999,0.15325,10
KA,1,4,0.001,0.0040858018386108275,9.5095,0.1215,12
KA,2,9,0.00225,0.009193054136874362,9.5095,0.1215,12
KA,3,41,0.01025,0.041879468845760985,9.5095,0.1215,12
KA,4,63,0.01575,0.06435137895812053,9.5095,0.1215,12
KA,5,140,0.035,0.14300306435137897,9.5095,0.1215,12
KA,6,229,0.05725,0.23391215526046988,9.5095,0.1215,12
KA,7,332,0.083,0.3391215526046987,9.5095,0.1215,12
KA,8,400,0.1,0.40858018386108275,9.5095,0.1215,12
KA,9,463,0.11575,0.4729315628192033,9.5095,0.1215,12
KA,10,612,0.153,0.6251276813074566,9.5095,0.1215,12
KA,11,728,0.182,0.7436159346271706,9.5095,0.1215,12
KA,12,979,0.24475,1,9.5095,0.1215,12
KR,1,894,0.2235,1,3.1612500000000003,0.93325,3
KR,2,887,0.22175,0.9921700223713646,3.1612500000000003,0.93325,3
KR,3,762,0.1905,0.8523489932885906,3.1612500000000003,0.93325,3
KR,4,595,0.14875,0.6655480984340044,3.1612500000000003,0.93325,3
KR,5,381,0.09525,0.4261744966442953,3.1612500000000003,0.93325,3
KR,6,214,0.0535,0.23937360178970915,3.1612500000000003,0.93325,3
KR,7,124,0.031,0.13870246085011184,3.1612500000000003,0.93325,3
KR,8,75,0.01875,0.08389261744966442,3.1612500000000003,0.93325,3
KR,9,41,0.01025,0.04586129753914989,3.1612500000000003,0.93325,3
KR,10,15,0.00375,0.016778523489932886,3.1612500000000003,0.93325,3
KR,11,9,0.00225,0.010067114093959731,3.1612500000000003,0.93325,3
KR,12,3,7.5e-4,0.003355704697986577,3.1612500000000003,0.93325,3
Stjarnan,1,103,0.02575,0.16375198728139903,6.281000000000001,0.55575,6
Stjarnan,2,178,0.0445,0.28298887122416533,6.281000000000001,0.55575,6
Stjarnan,3,289,0.07225,0.45945945945945943,6.281000000000001,0.55575,6
Stjarnan,4,428,0.107,0.6804451510333863,6.281000000000001,0.55575,6
Stjarnan,5,596,0.149,0.9475357710651828,6.281000000000001,0.55575,6
Stjarnan,6,629,0.15725,1,6.281000000000001,0.55575,6
Stjarnan,7,512,0.128,0.8139904610492846,6.281000000000001,0.55575,6
Stjarnan,8,443,0.11075,0.7042925278219396,6.281000000000001,0.55575,6
Stjarnan,9,337,0.08425,0.5357710651828299,6.281000000000001,0.55575,6
Stjarnan,10,245,0.06125,0.38950715421303655,6.281000000000001,0.55575,6
Stjarnan,11,159,0.03975,0.2527821939586645,6.281000000000001,0.55575,6
Stjarnan,12,81,0.02025,0.1287758346581876,6.281000000000001,0.55575,6
Valur,1,851,0.21275,1,3.2539999999999996,0.9285,4
Valur,2,845,0.21125,0.9929494712103407,3.2539999999999996,0.9285,4
Valur,3,770,0.1925,0.9048178613396005,3.2539999999999996,0.9285,4
Valur,4,616,0.154,0.7238542890716804,3.2539999999999996,0.9285,4
Valur,5,393,0.09825,0.46180963572267925,3.2539999999999996,0.9285,4
Valur,6,239,0.05975,0.2808460634547591,3.2539999999999996,0.9285,4
Valur,7,128,0.032,0.15041128084606345,3.2539999999999996,0.9285,4
Valur,8,80,0.02,0.09400705052878966,3.2539999999999996,0.9285,4
Valur,9,40,0.01,0.04700352526439483,3.2539999999999996,0.9285,4
Valur,10,20,0.005,0.023501762632197415,3.2539999999999996,0.9285,4
Valur,11,10,0.0025,0.011750881316098707,3.2539999999999996,0.9285,4
Valur,12,8,0.002,0.009400705052878966,3.2539999999999996,0.9285,4
Vestri,1,96,0.024,0.1393323657474601,5.980499999999999,0.60475,5
Vestri,2,181,0.04525,0.26269956458635707,5.980499999999999,0.60475,5
Vestri,3,347,0.08675,0.5036284470246735,5.980499999999999,0.60475,5
Vestri,4,499,0.12475,0.7242380261248186,5.980499999999999,0.60475,5
Vestri,5,689,0.17225,1,5.980499999999999,0.60475,5
Vestri,6,607,0.15175,0.8809869375907112,5.980499999999999,0.60475,5
Vestri,7,508,0.127,0.737300435413643,5.980499999999999,0.60475,5
Vestri,8,425,0.10625,0.6168359941944848,5.980499999999999,0.60475,5
Vestri,9,299,0.07475,0.4339622641509434,5.980499999999999,0.60475,5
Vestri,10,196,0.049,0.2844702467343977,5.980499999999999,0.60475,5
Vestri,11,103,0.02575,0.14949201741654572,5.980499999999999,0.60475,5
Vestri,12,50,0.0125,0.0725689404934688,5.980499999999999,0.60475,5
Víkingur R.,1,1088,0.272,1,2.94375,0.951,1
Víkingur R.,2,877,0.21925,0.8060661764705882,2.94375,0.951,1
Víkingur R.,3,728,0.182,0.6691176470588235,2.94375,0.951,1
Víkingur R.,4,564,0.141,0.5183823529411764,2.94375,0.951,1
Víkingur R.,5,339,0.08475,0.3115808823529412,2.94375,0.951,1
Víkingur R.,6,208,0.052,0.19117647058823528,2.94375,0.951,1
Víkingur R.,7,87,0.02175,0.07996323529411764,2.94375,0.951,1
Víkingur R.,8,68,0.017,0.0625,2.94375,0.951,1
Víkingur R.,9,21,0.00525,0.019301470588235295,2.94375,0.951,1
Víkingur R.,10,15,0.00375,0.01378676470588235,2.94375,0.951,1
Víkingur R.,11,2,5e-4,0.001838235294117647,2.94375,0.951,1
Víkingur R.,12,3,7.5e-4,0.0027573529411764703,2.94375,0.951,1
ÍA,1,7,0.00175,0.012006861063464838,8.37775,0.23575,8
ÍA,2,33,0.00825,0.05660377358490567,8.37775,0.23575,8
ÍA,3,79,0.01975,0.13550600343053174,8.37775,0.23575,8
ÍA,4,154,0.0385,0.2641509433962264,8.37775,0.23575,8
ÍA,5,268,0.067,0.4596912521440824,8.37775,0.23575,8
ÍA,6,402,0.1005,0.6895368782161236,8.37775,0.23575,8
ÍA,7,495,0.12375,0.8490566037735849,8.37775,0.23575,8
ÍA,8,497,0.12425,0.8524871355060035,8.37775,0.23575,8
ÍA,9,583,0.14575,1,8.37775,0.23575,8
ÍA,10,546,0.1365,0.9365351629502574,8.37775,0.23575,8
ÍA,11,547,0.13675,0.9382504288164667,8.37775,0.23575,8
ÍA,12,389,0.09725,0.6672384219554032,8.37775,0.23575,8
ÍBV,1,11,0.00275,0.01974865350089766,8.2185,0.24675,7
ÍBV,2,48,0.012,0.08617594254937162,8.2185,0.24675,7
ÍBV,3,81,0.02025,0.14542190305206462,8.2185,0.24675,7
