team,type,median,coverage,lower,upper,loc
Afturelding,Samtals,1.3168000000000002,0.05,1.29819625,1.33226825,Gestir
Afturelding,Samtals,1.3168000000000002,0.1,1.2828945,1.3503365,Gestir
Afturelding,Samtals,1.3168000000000002,0.2,1.251296,1.382792,Gestir
Afturelding,Samtals,1.3168000000000002,0.3,1.218121,1.4118680000000001,Gestir
Afturelding,Samtals,1.3168000000000002,0.4,1.183063,1.4468689999999997,Gestir
Afturelding,Samtals,1.3168000000000002,0.5,1.14679,1.49093,Gestir
Afturelding,Samtals,1.3168000000000002,0.6,1.1012300000000002,1.5315000000000003,Gestir
Afturelding,Samtals,1.3168000000000002,0.7,1.0583865000000001,1.590123,Gestir
Afturelding,Samtals,1.3168000000000002,0.8,0.9847952999999999,1.6565,Gestir
Afturelding,Samtals,1.3168000000000002,0.9,0.9012766,1.7652724999999998,Gestir
Breiðablik,Samtals,1.9230450000000001,0.05,1.909042,1.9337395,Gestir
Breiðablik,Samtals,1.9230450000000001,0.1,1.895052,1.9475539999999998,Gestir
Breiðablik,Samtals,1.9230450000000001,0.2,1.8656199999999998,1.976956,Gestir
Breiðablik,Samtals,1.9230450000000001,0.3,1.836135,2.0102745,Gestir
Breiðablik,Samtals,1.9230450000000001,0.4,1.805548,2.0380380000000002,Gestir
Breiðablik,Samtals,1.9230450000000001,0.5,1.7697625000000001,2.06905,Gestir
Breiðablik,Samtals,1.9230450000000001,0.6,1.7311860000000001,2.106098,Gestir
Breiðablik,Samtals,1.9230450000000001,0.7,1.690312,2.1496365,Gestir
Breiðablik,Samtals,1.9230450000000001,0.8,1.636419,2.209501,Gestir
Breiðablik,Samtals,1.9230450000000001,0.9,1.547739,2.2748845,Gestir
FH,Samtals,1.481815,0.05,1.46955575,1.49264375,Gestir
FH,Samtals,1.481815,0.1,1.4564925,1.5075569999999998,Gestir
FH,Samtals,1.481815,0.2,1.4262579999999998,1.5372820000000003,Gestir
FH,Samtals,1.481815,0.3,1.3961130000000002,1.5668950000000001,Gestir
FH,Samtals,1.481815,0.4,1.358255,1.593911,Gestir
FH,Samtals,1.481815,0.5,1.3242975,1.62574,Gestir
FH,Samtals,1.481815,0.6,1.282624,1.664326,Gestir
FH,Samtals,1.481815,0.7,1.2344425,1.715392,Gestir
FH,Samtals,1.481815,0.8,1.178315,1.7824449999999998,Gestir
FH,Samtals,1.481815,0.9,1.0954075,1.8740435,Gestir
Fram,Samtals,1.4387349999999999,0.05,1.42420225,1.453869,Gestir
Fram,Samtals,1.4387349999999999,0.1,1.406288,1.470627,Gestir
Fram,Samtals,1.4387349999999999,0.2,1.377124,1.5029,Gestir
Fram,Samtals,1.4387349999999999,0.3,1.3472655,1.5327775,Gestir
Fram,Samtals,1.4387349999999999,0.4,1.3092219999999999,1.565301,Gestir
Fram,Samtals,1.4387349999999999,0.5,1.2742975,1.59673,Gestir
Fram,Samtals,1.4387349999999999,0.6,1.23547,1.6377080000000002,Gestir
Fram,Samtals,1.4387349999999999,0.7,1.1886025,1.695345,Gestir
Fram,Samtals,1.4387349999999999,0.8,1.130599,1.766008,Gestir
Fram,Samtals,1.4387349999999999,0.9,1.0510305,1.8691624999999996,Gestir
KA,Samtals,1.2115,0.05,1.195994,1.2270085,Gestir
KA,Samtals,1.2115,0.1,1.1814005,1.24247,Gestir
KA,Samtals,1.2115,0.2,1.151524,1.2691560000000002,Gestir
KA,Samtals,1.2115,0.3,1.122497,1.2995735000000002,Gestir
KA,Samtals,1.2115,0.4,1.085469,1.333272,Gestir
KA,Samtals,1.2115,0.5,1.050635,1.3703675,Gestir
KA,Samtals,1.2115,0.6,1.0087359999999999,1.40951,Gestir
KA,Samtals,1.2115,0.7,0.96072804999999994,1.4457244999999999,Gestir
KA,Samtals,1.2115,0.8,0.9010182,1.492594,Gestir
KA,Samtals,1.2115,0.9,0.8115122499999999,1.5725609999999999,Gestir
KR,Samtals,1.590665,0.05,1.5758035000000001,1.60556375,Gestir
KR,Samtals,1.590665,0.1,1.5648149999999998,1.620125,Gestir
KR,Samtals,1.590665,0.2,1.538788,1.647254,Gestir
KR,Samtals,1.590665,0.3,1.5131995,1.6766945,Gestir
KR,Samtals,1.590665,0.4,1.482541,1.7073779999999998,Gestir
KR,Samtals,1.590665,0.5,1.4491575,1.7357375,Gestir
KR,Samtals,1.590665,0.6,1.41765,1.7726700000000002,Gestir
KR,Samtals,1.590665,0.7,1.3774705000000003,1.8167005,Gestir
KR,Samtals,1.590665,0.8,1.3256770000000002,1.8697120000000003,Gestir
KR,Samtals,1.590665,0.9,1.25183,1.9619174999999995,Gestir
Stjarnan,Samtals,1.50715,0.05,1.49175025,1.52166325,Gestir
Stjarnan,Samtals,1.50715,0.1,1.479261,1.5376545,Gestir
Stjarnan,Samtals,1.50715,0.2,1.44543,1.56266,Gestir
Stjarnan,Samtals,1.50715,0.3,1.417722,1.5898605,Gestir
Stjarnan,Samtals,1.50715,0.4,1.388272,1.6206990000000001,Gestir
Stjarnan,Samtals,1.50715,0.5,1.3529825,1.6526625000000001,Gestir
Stjarnan,Samtals,1.50715,0.6,1.310626,1.691326,Gestir
Stjarnan,Samtals,1.50715,0.7,1.266052,1.7361000000000002,Gestir
Stjarnan,Samtals,1.50715,0.8,1.200774,1.801786,Gestir
Stjarnan,Samtals,1.50715,0.9,1.116444,1.874375,Gestir
Valur,Samtals,2.03858,0.05,2.0252974999999998,2.0525785,Gestir
Valur,Samtals,2.03858,0.1,2.0127124999999997,2.0676045,Gestir
Valur,Samtals,2.03858,0.2,1.98363,2.09458,Gestir
Valur,Samtals,2.03858,0.3,1.9554475,2.123387,Gestir
Valur,Samtals,2.03858,0.4,1.924464,2.15438,Gestir
Valur,Samtals,2.03858,0.5,1.8871675,2.1935375,Gestir
Valur,Samtals,2.03858,0.6,1.846628,2.2351,Gestir
Valur,Samtals,2.03858,0.7,1.802973,2.284036,Gestir
Valur,Samtals,2.03858,0.8,1.74975,2.3341,Gestir
Valur,Samtals,2.03858,0.9,1.67238,2.4183204999999997,Gestir
Vestri,Samtals,1.210525,0.05,1.19411775,1.22581,Gestir
Vestri,Samtals,1.210525,0.1,1.1760875,1.2438795000000002,Gestir
Vestri,Samtals,1.210525,0.2,1.144924,1.2766359999999999,Gestir
Vestri,Samtals,1.210525,0.3,1.108294,1.3095495000000001,Gestir
Vestri,Samtals,1.210525,0.4,1.07402,1.343461,Gestir
Vestri,Samtals,1.210525,0.5,1.036845,1.3841275,Gestir
Vestri,Samtals,1.210525,0.6,1.001516,1.419162,Gestir
Vestri,Samtals,1.210525,0.7,0.95439065,1.4729744999999999,Gestir
Vestri,Samtals,1.210525,0.8,0.8890934,1.535452,Gestir
