date,division,home,away,home_goals,away_goals,n,p
2025-08-18,1,Fram,KR,0,0,108,0.027
2025-08-18,1,Fram,KR,0,1,182,0.0455
2025-08-18,1,Fram,KR,0,2,126,0.0315
2025-08-18,1,Fram,KR,0,3,68,0.017
2025-08-18,1,Fram,KR,0,4,34,0.0085
2025-08-18,1,Fram,KR,0,5,14,0.0035
2025-08-18,1,Fram,KR,0,6,3,7.5e-4
2025-08-18,1,Fram,KR,0,7,4,0.001
2025-08-18,1,Fram,KR,1,0,219,0.05475
2025-08-18,1,Fram,KR,1,1,341,0.08525
2025-08-18,1,Fram,KR,1,2,270,0.0675
2025-08-18,1,Fram,KR,1,3,133,0.03325
2025-08-18,1,Fram,KR,1,4,60,0.015
2025-08-18,1,Fram,KR,1,5,24,0.006
2025-08-18,1,Fram,KR,1,6,13,0.00325
2025-08-18,1,Fram,KR,1,7,3,7.5e-4
2025-08-18,1,Fram,KR,1,8,2,5e-4
2025-08-18,1,Fram,KR,2,0,187,0.04675
2025-08-18,1,Fram,KR,2,1,302,0.0755
2025-08-18,1,Fram,KR,2,2,270,0.0675
2025-08-18,1,Fram,KR,2,3,170,0.0425
2025-08-18,1,Fram,KR,2,4,74,0.0185
2025-08-18,1,Fram,KR,2,5,34,0.0085
2025-08-18,1,Fram,KR,2,6,9,0.00225
2025-08-18,1,Fram,KR,2,7,2,5e-4
2025-08-18,1,Fram,KR,2,8,1,2.5e-4
2025-08-18,1,Fram,KR,3,0,132,0.033
2025-08-18,1,Fram,KR,3,1,196,0.049
2025-08-18,1,Fram,KR,3,2,186,0.0465
2025-08-18,1,Fram,KR,3,3,118,0.0295
2025-08-18,1,Fram,KR,3,4,51,0.01275
2025-08-18,1,Fram,KR,3,5,24,0.006
2025-08-18,1,Fram,KR,3,6,14,0.0035
2025-08-18,1,Fram,KR,4,0,73,0.01825
2025-08-18,1,Fram,KR,4,1,109,0.02725
2025-08-18,1,Fram,KR,4,2,98,0.0245
2025-08-18,1,Fram,KR,4,3,46,0.0115
2025-08-18,1,Fram,KR,4,4,36,0.009
2025-08-18,1,Fram,KR,4,5,7,0.00175
2025-08-18,1,Fram,KR,4,6,4,0.001
2025-08-18,1,Fram,KR,4,7,2,5e-4
2025-08-18,1,Fram,KR,4,8,1,2.5e-4
2025-08-18,1,Fram,KR,5,0,31,0.00775
2025-08-18,1,Fram,KR,5,1,39,0.00975
2025-08-18,1,Fram,KR,5,2,32,0.008
2025-08-18,1,Fram,KR,5,3,30,0.0075
2025-08-18,1,Fram,KR,5,4,12,0.003
2025-08-18,1,Fram,KR,5,5,9,0.00225
2025-08-18,1,Fram,KR,5,6,1,2.5e-4
2025-08-18,1,Fram,KR,5,7,1,2.5e-4
2025-08-18,1,Fram,KR,5,8,1,2.5e-4
2025-08-18,1,Fram,KR,6,0,8,0.002
2025-08-18,1,Fram,KR,6,1,22,0.0055
2025-08-18,1,Fram,KR,6,2,17,0.00425
2025-08-18,1,Fram,KR,6,3,8,0.002
2025-08-18,1,Fram,KR,6,4,6,0.0015
2025-08-18,1,Fram,KR,6,5,3,7.5e-4
2025-08-18,1,Fram,KR,6,6,2,5e-4
2025-08-18,1,Fram,KR,6,7,1,2.5e-4
2025-08-18,1,Fram,KR,7,0,1,2.5e-4
2025-08-18,1,Fram,KR,7,1,11,0.00275
2025-08-18,1,Fram,KR,7,2,4,0.001
2025-08-18,1,Fram,KR,7,3,2,5e-4
2025-08-18,1,Fram,KR,7,4,2,5e-4
2025-08-18,1,Fram,KR,7,5,2,5e-4
2025-08-18,1,Fram,KR,8,2,1,2.5e-4
2025-08-18,1,Fram,KR,8,3,1,2.5e-4
2025-08-18,1,Fram,KR,9,1,1,2.5e-4
2025-08-18,1,Fram,KR,9,2,1,2.5e-4
2025-08-18,1,Fram,KR,10,1,1,2.5e-4
2025-08-19,5,Kría,KÁ,0,0,52,0.013
2025-08-19,5,Kría,KÁ,0,1,81,0.02025
2025-08-19,5,Kría,KÁ,0,2,76,0.019
2025-08-19,5,Kría,KÁ,0,3,70,0.0175
