iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-08-18,Fram,KR,4,1
1,2,5,2025-08-19,Kría,KÁ,3,3
1,3,4,2025-08-20,KF,Tindastóll,3,1
1,4,4,2025-08-20,Magni,ÍH,0,1
1,5,4,2025-08-20,Reynir S.,Sindri,7,4
1,6,4,2025-08-20,Árbær,KV,3,2
1,7,4,2025-08-20,Augnablik,Ýmir,2,1
1,8,4,2025-08-20,Hvíti riddarinn,KFK,1,1
1,10,5,2025-08-21,Árborg,KH,0,1
1,11,5,2025-08-22,Álftanes,Hamar,2,0
1,12,6,2025-08-22,Valur,Vestri,3,2
1,13,2,2025-08-23,Grindavík,Fylkir,1,0
1,14,2,2025-08-23,Leiknir R.,ÍR,3,1
1,15,2,2025-08-23,Fjölnir,HK,6,1
1,16,2,2025-08-23,Þróttur R.,Selfoss,0,1
1,17,2,2025-08-23,Keflavík,Völsungur,4,0
1,18,2,2025-08-23,Þór,Njarðvík,2,1
1,19,3,2025-08-23,Haukar,Þróttur V.,0,0
1,20,3,2025-08-23,KFA,Kári,2,0
1,21,3,2025-08-23,Víkingur Ó.,Höttur/Huginn,3,2
1,22,3,2025-08-23,Ægir,Grótta,0,1
1,23,3,2025-08-23,KFG,Dalvík/Reynir,3,0
1,24,3,2025-08-23,Víðir,Kormákur/Hvöt,3,0
1,25,4,2025-08-23,Magni,Ýmir,3,2
1,26,5,2025-08-23,Elliði,KFS,1,2
1,27,1,2025-08-24,KA,Fram,3,1
1,28,1,2025-08-24,FH,ÍBV,1,0
1,29,4,2025-08-24,Augnablik,Hvíti riddarinn,2,2
1,30,4,2025-08-24,Reynir S.,KFK,5,1
1,31,4,2025-08-24,KV,ÍH,1,4
1,32,4,2025-08-24,Árbær,Tindastóll,6,1
1,33,4,2025-08-24,KF,Sindri,1,2
1,34,1,2025-08-25,KR,Stjarnan,3,2
2,1,1,2025-08-18,Fram,KR,2,2
2,2,5,2025-08-19,Kría,KÁ,6,3
2,3,4,2025-08-20,KF,Tindastóll,2,1
2,4,4,2025-08-20,Magni,ÍH,3,2
2,5,4,2025-08-20,Reynir S.,Sindri,5,2
2,6,4,2025-08-20,Árbær,KV,4,0
2,7,4,2025-08-20,Augnablik,Ýmir,3,2
2,8,4,2025-08-20,Hvíti riddarinn,KFK,2,1
2,10,5,2025-08-21,Árborg,KH,3,3
2,11,5,2025-08-22,Álftanes,Hamar,2,1
2,12,6,2025-08-22,Valur,Vestri,1,1
2,13,2,2025-08-23,Grindavík,Fylkir,2,2
